id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
5469,UNA,Union Nationale de l’Aide,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,unaunionnationaledelaide
6292,UNA,Unité -- Numéro -- Année,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,unauniténuméroannée
5470,UNACS,Union nationale des centres de soins,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,unacsunionnationaledescentresdesoins
5471,UNADMR,Union nationale des associations d’aide à domicile en milieu rural,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,unadmrunionnationaledesassociationsdaideàdomicileenmilieurural
5454,UNAF,Union nationale des associations familiales,Sénat,https://www.senat.fr/histoire/sigles.html,,,,unafunionnationaledesassociationsfamiliales
5474,UNAFAM,l’Union Nationale des amis et des familles des malades mentaux,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,unafamlunionnationaledesamisetdesfamillesdesmaladesmentaux
5475,UNAFORIS,Union Nationale Des Associations De Formation Et De Recherche En Intervention Sociale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,unaforisunionnationaledesassociationsdeformationetderechercheeninterventionsociale
5476,UNAGAF,Union nationale des associations générales pour l’aide familiale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,unagafunionnationaledesassociationsgénéralespourlaidefamiliale
5473,UNAPEI,Union nationale des associations de parents et amis de personnes handicapées mentales,Sénat,https://www.senat.fr/histoire/sigles.html,,,,unapeiunionnationaledesassociationsdeparentsetamisdepersonneshandicapéesmentales
5479,UNAPP,Association Nationale des Associations de Parrainage de Proximité,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,unappassociationnationaledesassociationsdeparrainagedeproximité
